название,адрес,телефон,instagram,vk
"Телец, ресторан китайской кухни","улица Карла Маркса, 15а",+79648181818,,
"Авеню, ресторан","улица Ширямова, 10а",+73952705070,,
"Пекин, ресторан китайской кухни","улица Кузнецовой, 11",+79397941232,,
"Академия Караоке, ресторан","улица Ширямова, 32/1",+73952901000,,https://vk.com/akademiyakaraoke
"Академия Караоке, ресторан","улица Карла Маркса, 34",+73952901000,,
"Fuller`s, ресторан","бульвар Гагарина, 38",+73952500026,,
"Kultura bar, рестобар","Декабрьских Событий, 57",+79501255547,,https://vk.com/kultura_irk
Скай Лаундж Иркутск,"улица Ширямова, 10Б",+73952706130,,https://vk.com/skyloungeirk
"Лаваль, кафе","Байкальская улица, 87",+79140001171,,
"Кави, гранд-бистро","Советская улица, 130",+73952484884,,
"Grot Первомайский, бар-рестран","Первомайский микрорайон, 14а",+73952485905,,
"Алаверды, ресторан грузинской кухни","бульвар Гагарина, 9",+79643503064,,
"Пельмения, ресторан моно-кухни","Рабочая улица, 2а/4",+73952718718,,https://vk.com/pelmenya_irk
"Вечернее, ресторан","улица Розы Люксембург, 1а",+73952729201,,
"Великая стена, ресторан","Университетский микрорайон, 2Б",+79041101113,,
"Ной, ресторан, банкетный зал","Тополиная улица, 2",+79249981007,,https://vk.com/ovo007
"Остров, ресторан","остров Юность, 6",+79641003344,,
"А`Соль, банкетный зал","улица Доржи Банзарова, 23Б",+79245448488,,
"Топчик, рестобар","Каспийский переулок, 1/1",+79242941089,,
"Бинарио, семейный итальянский ресторан","Красного Восстания, 20",,,
"Красная стена, ресторан","улица Глеба Успенского, 1",+73952742345,,
"Turki, ресторан","Култукская улица, 99",+79643599799,,
"Бабао, ресторан китайской кухни","Култукский тракт, 36а",+79025148266,,
"Джайхун, ресторан","переулок Пушкина, 1Б",+79501465399,,
"Феличита, ресторан","Колхозная улица, 145/1",+79500588854,,
"Чайна-таун, ресторан китайской кухни","Колхозная улица, 204а",+79086694267,,
"У Бахи, ресторан","Каштановая улица, 49",,,
Позная на сквере,"Сухэ-Батора, 7",+79500644488,,https://vk.com/club227729575
"Панини, кафе","улица Кожова, 17",+79016631683,,
"Номад, этно-кафе","Советская улица, 58 к2",+79149150009,,
"Номад, этно-кафе","улица Сергеева, 3/2г",+79246100065,,
Урагшаа,"Декабрьских Событий, 107а",+73952497797,,https://vk.com/uragshaa_38
Урагшаа,"Старо-Кузьмихинская улица, 48/1",+73952497797,,https://vk.com/uragshaa_38
"Шашлык и Плов, кафе","улица Кузнецовой, 14/3",+79027635585,,
"Вместе, семейное кафе","проспект Маршала Жукова, 36/5",+79246078288,,https://vk.com/vmeste.cafe38
Позная №1,"Трактовая улица, 5/2",+79016323266,,
"Лавву, кафе","6-й квартал, 38",+79500994001,,
"Шашлык-city, кафе","Култукский тракт, 1Б/2",+73952455252,,
"Кебаб-тайм, кафе","Юбилейный микрорайон, 35а",+73952460013,,
"Carolina, кафе","улица Ленина, 42",+73952727372,,
Поперчилли,"Академическая улица, 31",+73952434334,,https://vk.com/poperchilli38
"Territory Soprano Clan-Club, ресторан-клуб","Култукская улица, 99",+79643599799,,https://vk.com/territory_soprano
"Позы в аэропорту, кафе","улица Ширямова, 2/4Б",+73952600409,,
"Green bar, кафе-бильярдная","Зелёный микрорайон, 150/1",+79642822333,,
"Золотой шампур, кафе","Дорожная улица, 7/1",+73952915315,,
"Любимое, кафе","1-я Московская улица, 1а",+79246044515,,
"Прага, кафе","Култукский тракт, 1а",+79500830409,,
"Алтан Хаан, этно-кафе и банкетный зал","Сосновая улица, 7/1",+79501179953,,
"Мираж, кафе","Промышленная улица, 8",+79242905010,,
"Чжао Синь, кафе китайской кухни","улица Сурнова, 58а",+79526375659,,
"Даши, позная","улица Розы Люксембург, 131",+79041135959,,
"Запеканка, кафе-столовая","Ракитная улица, 18 к4",+79842746575,,
Шашлык38,"Ушаковская улица, 22",+79041195295,,
"Русский шашлык, кафе","Култукский тракт, 1/2",+73952620709,,
"Rikko pizza, пиццерия","Колхозная улица, 196Б",+73952480939,,
"Руфат, кафе","Толевая улица, 4в",+79836905635,,
"Семья Ван, кафе китайской кухни","улица Баррикад, 120Б/1",+79016719800,,
"Созвездие, кафе","Трактовая улица, 9а",+79247193221,,
Позная в Зелёном,"Зелёный микрорайон, 1/1",+73952507055,,
"Царская охота, кафе","Западная улица, 25",+73952709799,,
"Амритта, кафе","Качугский тракт, 13/2",+79027630969,,
"Высота, кафе","Култукский тракт, ст1",+79148922016,,
"Легенда, кафе","Мраморная улица, 47",+79149190479,,https://vk.com/club211580702
"Лаура, кафе","Шевченко, 1/1",+79016336033,,https://vk.com/id845722172
"Якоби, кафе","микрорайон Красный ключ, 91л ст3",+73952977778,,https://vk.com/gorasobolinaya
"Самарканд, узбекское кафе","Братская улица, 8а",+79641022515,,
"У маяка, кафе","5-й Советский переулок, 11в",+79397963240,,
"Hao chi`k Azia, кафе","микрорайон Красный ключ, 91л ст3",+79149114498,,https://vk.com/gorasobolinaya
"Позная, кафе","микрорайон Красный ключ, 91л ст3",+79501391122,,
"Армянский дом, кафе","Трактовая улица, 20/1",+73952659013,,
"Еловка, кафе","Московский тракт, 17Б",+79086610675,,
"Автобан, кафе","улица Рабочего Штаба, 111",+79526308730,,
"Амритта, кафе","Дорожная улица, 1/7",+79025661502,,
у Дороховых,"2-я Батарейная улица, 2а",+79501301152,,
"Грань вкуса, кафе","Объездная улица, 112",+79501430777,,
"Еланка, кафе","микрорайон Красный ключ, 91л ст3",+79041522116,,https://vk.com/gorasobolinaya
"Пылающий мангал, кафе","Трактовая улица, 18/36",+79641043283,,
"Ешь Мясо, кафе","3-й микрорайон, 34/3",+79087703400,,
"Медведь и панда, кафе","Култукский тракт, 46",,,
"Хан-кебаб, кафе","Солнечная улица, 1/1",+79246149727,,
"PepeRoni, кафе доставки римской пиццы","улица Баумана, 227",,,
"Буузы и точка, буузная","Объездная улица, 47",+79501258375,,
"Русская мечта, кафе","Полярная улица, 95а",+79149214814,,
Садко Пицца,"улица Кирова, 40а",+79016598030,,
"Хауs, клуб-бар","Цветочная улица, 2",,,
"Клевер, дорожное кафе","Московский тракт, 1860/3",+73952653444,,
"Вкусняк, кафе","улица Радищева, 172",+79996440076,,
"Черепаха, кафе","Московский тракт 1860 километр, 8",+79041513746,,
Кафе-позная,"Родниковая улица, 12",+79027692346,,
"Приангарье, кафе","2-я Батарейная улица, 1в",,,
"4 Сезона, кафе","Земляничная улица, 19",+79016710999,,
Кафе,"Трактовая улица, 20а",,,
Кафе-позная,"Луговая улица, 2/4",+79148804505,,
"Лаура, кафе","Байкальский тракт 29 километр, 2",+79148812747,,
"Девяточка, кафе","252-й квартал, 15",+79016580138,,
"Мерани, кафе","Гравийная улица, 64",+79526245747,,
"Купеческий двор, кафе","Московский тракт, 1",+79025157555,,
Буузы и бургеры,"Объездная улица, 1",+79247074073,,
"Южанка, кафе","микрорайон Красный ключ, 91л ст3",+79041408436,,https://vk.com/gorasobolinaya
"Хочу суши, кафе","1-й квартал, 1а/1",+79501171871,,
"Золотая юрта, кафе-столовая","Байкальский тракт, 115 вл7",+79500999755,,https://vk.com/id732205295
Кафе,"Карьерная улица, 41а",,,
"Оранжерея, кафе","Центральная улица, 5",+73952611790,,
"Опилка, кафе","Голоустненский тракт 18 километр, 2а/3",+73952604623,,
"BarBQ, пивной бар","251-й квартал, 9",+79087722477,,
"Додо Пицца, сеть пиццерий",,,,https://vk.com/dodoirk
"Пицца hot, сеть пиццерий","Дальневосточная улица, 106",+73952939343,,https://vk.com/pizzahot_irk
"Пицца hot, сеть пиццерий","улица Ржанова, 164Б/1",+73952939343,,https://vk.com/pizzahot_irk
"Пицца hot, сеть пиццерий","Академическая улица, 26",+73952939343,,https://vk.com/pizzahot_irk
"Пицца hot, сеть пиццерий","проезд Юрия Тена, 26/2",+73952939343,,https://vk.com/pizzahot_irk
"Пицца hot, сеть пиццерий","Депутатская улица, 63/1",+73952939343,,https://vk.com/pizzahot_irk
"Пицца hot, сеть пиццерий","улица Франк-Каменецкого, 13/1",+73952939343,,https://vk.com/pizzahot_irk
"Пицца hot, сеть пиццерий","2-я Железнодорожная улица, 70",+73952939343,,https://vk.com/pizzahot_irk
"Пицца hot, сеть пиццерий","улица Баумана, 214/1",+73952939343,,https://vk.com/pizzahot_irk
"Пицца hot, сеть пиццерий","Трактовая улица, 10",+73952939343,,https://vk.com/pizzahot_irk
"Пицца hot, сеть пиццерий","Советская улица, 58 к2",+73952939343,,https://vk.com/pizzahot_irk
"Rikko pizza, пиццерия","улица Пушкина, 9",+73952480939,,
"Пицца Домино, кафе","улица Безбокова, 10",+73952468228,,
"Вечерняя, пиццерия","улица Розы Люксембург, 1а/3",+73952729203,,
"Papa Pizza&Wok, пиццерия","Юбилейный микрорайон, 19/1",+73952438388,,https://vk.com/club166215559
"Take Pizza, коно-пиццерия","Октябрьской Революции, 22",+79041572929,,
"Мама Мия, пиццерия","улица Пискунова, 142/2",+79243844111,,
"Смайл пицца, пиццерия","Придорожная улица, 15",+73952663277,,https://vk.com/smile.pizza.kafe
"Papa Pizza, пиццерия","Конный остров, 4а",+73952438388,,https://vk.com/club166215559
"Вечерняя, пиццерия","Украинская улица, 8",+73952322358,,
"Марио, столовая","Байкальская улица, 126/4",+79041273520,,
Столовая №1,"Байкальская улица, 180а/1",+79041273520,,
"Орбита, столовая","Советская улица, 139",+73952617700,,
"Дацан, столовая","улица Баррикад, 62ж",+79025605599,,https://vk.com/club40130163
"Сафари, столовая","улица Маяковского, 15",+79149161348,,
"Дядя Ваня, кафе китайской кухни","Партизанская улица, 16",+79777383333,,
"Чемпионы, гастробар","улица Лермонтова, 249",+79027608008,,https://vk.com/champions_irkutsk
"Порция, столовая","Декабрьских Событий, 92а",,,
"Матрёшка, столовая","Берёзовая Роща, ст5",+79248288000,,
"У Ангары, столовая","Нижняя набережная, 14/1",+79939449303,,
"Амритта, столовая","улица Поленова, 37",+79025135268,,
"Лидия, буузная","улица Муравьёва, 17",+79500654422,,
"Калинка малинка, столовая","улица Маршала Конева, 16",+79842785759,,
"Сафари38, столовая","Пролетарская улица, 8",+79501394901,,
"Сели поели, столовая","улица Сергеева, 3/3а",,,
"Столоffка 24, кафе-столовая","Байкальская улица, 263",+79245433511,,
"Пульс, кафе","бульвар Гагарина, 6/1",+73952960818,,
"Диана, столовая","Трактовая улица, 8с",+79648230840,,
"Порция, столовая","улица Станиславского, 2/1",+79148909210,,
"Запеканка, столовая","улица Пискунова, 54",+73952665985,,
"Столоffка 24, кафе-столовая","Култукская улица, 13",+79245433511,,
"Приличная, столовая","Байкальская улица, 249",+79646516871,,
"Порция, столовая","улица Терешковой, 36",+79149261159,,
"Спутник, кафе","Култукский тракт, 21а",+73955062261,,https://vk.com/cafesputnik
"Калинка малинка, столовая","Партизанская улица, 71а",+79148874065,,
"Дана, столовая","улица Рабочего Штаба, 30Б",+73952920130,,
"Пельменная+, кафе быстрого питания","улица Ширямова, 32",+79149268878,,
"Диана, столовая","Старо-Кузьмихинская улица, 82",+73952936000,,
"Метро, столовая","улица Терешковой, 2Б",+73952670888,,
"Березка, столовая","улица Пискунова, 128/2",,,
"Плацкарт, столовая","улица Тимирязева, 29",+79643579288,,
"Время есть, столовая","Генерала Доватора, 25",+79025465869,,
"Голд, столовая","Депутатская улица, 39",+79149046347,,
"Столоffка 24, кафе-столовая","Трактовая улица, 14/1",+79245433511,,
"Вкусно и просто, столовая","улица Костычева, 30/2",+79501217121,,
"Горчица, кафе-столовая","Академическая улица, 31",+79246369366,,https://vk.com/gorchica38
"Кузина, cтоловая","Старо-Кузьмихинская улица, 62",,,
"РЖД, столовая","улица Боткина, 1 ст1",+73952632380,,
"Иркутянка, столовая","Декабрьских Событий, 88",+79025775203,,
"Пирожок, точка быстрого питания","улица Лермонтова, 90/1",+79526252600,,
Столовая,"улица Баррикад, 189Б",+73952275044,,
"Сыто пряно, кафе домашней кухни","улица Дзержинского, 1",+79501290237,,
Столовая,"Декабрьских Событий, 100",+79149454468,,
"Апельсин, столовая","Октябрьской Революции, 11",+73952402032,,
"Лакомка, кафе","улица Карла Маркса, 40 к1",+79501110740,,
"Матрёшка, столовая","улица Розы Люксембург, 200/4",+79246337575,,
"Плаза, кафе","улица Карла Либкнехта, 121",+79501455444,,
"Приличная, столовая","улица Помяловского, 1",+79149398549,,
"Есть поесть, столовая","Трактовая улица, 18/38",+79500624482,,
"Вкусный обед, столовая","Байкальская улица, 295/14",+79246038802,,
"Нури Худжанд, чайхана","улица Баррикад, 88а",+79642293050,,
"Халяль, кафе-бистро","улица Софьи Перовской, 44",,,
"Солнышко, кафе-столовая","Трактовая улица, 20т/1",+79501209077,,
"Лаззати, чайхана","Челябинская улица, 25а",+79245460880,,
"1880, столовая","улица Рабочего Штаба, 59а",+79086632911,,
"Кари, кафе-столовая","Советская улица, 3",+79025616542,,
"Сибирь, столовая","улица Лыткина, 75а",,,
"Хочу есть, столовая","улица Баррикад, 153Б",+79148955191,,
"Диана, столовая","Рабочая улица, 18д",,,
"На Пивоварне Байкал, столовая","бульвар Рябикова, 1к",+79041295720,,
Столовая,"бульвар Гагарина, 40",,,
Столовая на Лермонтова,"улица Лермонтова, 128",+79025464511,,
"Диана, столовая","улица Баррикад, 32а/11",,,
"Вояж, столовая","Почтамтская улица, 120/1",+79642168229,,
"Уютная, столовая","Центральная улица, 15а",,,
Столовая,"улица Шевцова, 35",,,
"Buffeto, столовая","Гоголя, 44/1",+79501290712,,
"Розмарин, столовая","улица Розы Люксембург, 186",+79025127345,,
Столовая,"улица Челнокова, 24",,,
"Бакалея, столовая","Трактовая улица, 1",+73952682231,,
"Обед Банкет, cтоловая","Набережная Иркута улица, 1/1Б",,,
Столовая,"улица Лермонтова, 124",,,
Столовая управления ИОМЗ,"Полярная улица, с201",+79964356994,,
Столовая,"улица Карла Маркса, 7",+73952644498,,
Столовка.ру,"улица Лермонтова, 134",+79501200543,,
"Уз, чайхана","Дорожная улица, 81в",+79016678833,,
"Амир, кафе-столовая","Волжская улица, 15",+79248329246,,
Бистро,"улица Литвинова, 3",,,
"Та самая, столовая","улица Розы Люксембург, 219Б",+79641114236,,
"Вкуснотей, столовая","улица Шевцова, 68",,,
"На релейном, столовая по проведению поминальных обедов","Байкальская улица, 239",+79501412922,,
"Тарелка, столовая","Колхозная улица, 125",+79996426325,,
Столовая,"улица Сергеева, 3/1",,,
"888, кафе быстрого питания","Челябинская улица, 29/93",,,
Столовая,"улица Олега Кошевого, 65/20",+79149083234,,
"Привет Буфет, столовая","улица Розы Люксембург, 164/1",+79834439640,,
Буфетная,"улица Кожова, 12",,,
Столовая,"Трактовая улица, 4/2",+79996408652,,
"Диана, столовая","улица Карла Маркса, 65/1",,,
"Респект, столовая","Придорожная улица, 12е",,,
"1 Городская, столовая","Култукский тракт, 28Б",+79247098517,,
Столовая,"Трактовая улица, 1/10",+79149384338,,
Столовая,"микрорайон Красный ключ, 91л ст3",,,https://vk.com/gorasobolinaya
"Streamfood, кафе-столовая","Полярная улица, 145/1",,,
"Ёлочки Сибирские, столовая","микрорайон Красный ключ, 91л ст3",+79246031100,,https://vk.com/gorasobolinaya
Столовая,"улица Розы Люксембург, 202Б",+79500965082,,
"Еда`Ок, кафе-столовая","2-я Батарейная улица, 49Б",+79025131300,,
Столовая,"улица Розы Люксембург, 3-а",,,
Чайхана №1,"улица Воровского, 19Б/5",+79014551022,,
Буфет,"Авиастроителей, 4а/1",,,
Столовая,"Объездная улица, 1",,,
"Бытовые и ритуальные услуги, Столовая","4-й микрорайон, 46",+79025160852,,
"Брусника, столовая","252-й квартал, 19/1",+79500845477,,
"Вкусно — и точка, предприятие быстрого питания","Рабочая улица, 18в",,,https://vk.com/vkusno_itochka
"Сытый Дядя, кафе быстрого питания","улица Баумана, 233Б",+73952912191,,
Chicken Food,"Академическая улица, 2а/8",+79526136060,,
Наму,"улица Розы Люксембург, 19",+79956596561,,https://vk.com/ramennamy
Шашлык и точка,"Дивная улица, 1",+73952749234,,
"Хот-дог&бургер, кафе фастфудной продукции","улица Баррикад, 51/8",+79836975618,,
"Мокко Ням, автокафе","улица Ширямова, 19Б/2",+79148959884,,https://vk.com/mokko_nyam
"Papa Grill, ресторан быстрого питания","Конный остров, 4",+73952438388,,https://vk.com/papagrill.irkutsk
Булки,"улица Баррикад, 219/3",+79148750075,,
"Азия, кафе вьетнамской кухни","Челябинская улица, 25а",+79996858666,,
"МясоВар, позная","Летняя улица, 24",+79246193333,,
"ШаурМистер, павильон быстрого питания","микрорайон Красный ключ, 91л ст3",+79041399988,,https://vk.com/gorasobolinaya
"Doner house, кафе быстрого питания","15-й Советский переулок, 2а",+79041259330,,
"Фиксель шаверма, точка быстрого питания","микрорайон Красный ключ, 91л ст3",+79086489548,,https://vk.com/fikselshawarma
"Шашлык-1, закусочная","Московский тракт, 16/2",+79832403125,,
"Бургер Ок, бургерная","5-й Советский переулок, 11Б/7",+79248253534,,
"Товуз, кафе быстрого питания","Толевая улица, 1д",+79246180111,,
ШиК это Шаурма и Кофе,"микрорайон Красный ключ, 91л ст3",,,https://vk.com/gorasobolinaya
"ФудЭкспресс, кафе быстрого питания","Трактовая улица, 22",+79016614734,,
"Буузная от фермера, кафе","Кедровая улица, 17/1",+73952665671,,
Шаурмичка и точка,"Трактовая улица, 1/1 киоск",+79930052827,,
"Ням-ням, шашлычная","Придорожная улица, 12/1",+79642278188,,
"Хлебное место, кафе-магазин","Ракитная улица, 15/3",,,
КрылышкOFF,"Зелёный микрорайон, 14 киоск",+79041482280,,
"Всегда рядом, позная","улица Розы Люксембург, 202",+79526164272,,
"SimBurger, кафе фастфуда","Поселковая улица, 6",+79041337487,,
"Лав, точка быстрого питания","микрорайон Красный ключ, 91л ст3",+79500953644,,https://vk.com/gorasobolinaya
"Доставка вкуса, кафе быстрого питания","Объездная улица, 35а",+79148875744,,
"Вкусный квартал, кулинария","улица Левитана, 1г ст1",+79149157306,,
Киоск шаурмы,"микрорайон Красный ключ, 91л ст3",+79246320370,,https://vk.com/gorasobolinaya
"Chitago chicken, точка фастфуда","Объездная улица, 1",+79247074073,,
Шашлык от Амаяка,"микрорайон Красный ключ, 91л ст3",+79245349008,,https://vk.com/gorasobolinaya
Киоск по продаже фастфудной продукции,"102-й квартал, 2/1 киоск",+79501017000,,
Точка быстрого питания,"Трактовая улица, 18/1 киоск",+79246208384,,
"У Шуни, кафе","улица Кирова, 149а",+79500770274,,
"Good, кафе быстрого питания","Московский тракт 1844 километр, ст3",,,
Шашлычная,"253-й квартал, ст1",,,
"Cupturbo, автокафе","1-й квартал, ст4",+79647303838,,https://vk.com/cupturbo
